Type,comment,like,share,Total_Interactions,Paid,Lifetime_Post_Total_Impressions,Lifetime_Post_Total_Reach
Photo,4,79,17,100,0,5091,2752
Status,5,130,29,164,0,19057,10460
Photo,0,66,14,80,0,4373,2413
Status,1,152,33,186,0,20849,10472
Photo,3,113,26,142,0,8668,4694
Status,0,233,19,252,0,42334,21744
Photo,0,88,18,106,0,5590,3112
Photo,0,90,14,104,0,5133,2847
Photo,5,137,10,152,0,4896,2549
Photo,2,40,12,54,0,2981,1722
Status,4,54,17,75,0,7509,3930
Photo,0,34,8,42,0,2825,1591
Photo,3,66,12,81,0,5066,2848
Photo,0,0,0,0,0,2467,1384
Link,0,16,2,18,0,6853,3454
Photo,0,72,24,96,0,4888,2723
Status,3,99,19,121,0,15294,8488
Status,10,412,72,494,0,34143,19552
Photo,36,523,63,622,0,18264,9560
Photo,33,107,22,162,0,9390,4940
Photo,1,27,11,39,0,2929,1683
Photo,2,155,47,204,0,9578,5280
Photo,2,56,17,75,0,7149,3766
Photo,6,172,21,199,0,7808,4512
Status,11,227,31,269,0,33058,17576
Photo,1,44,14,59,0,6085,3290
Status,7,216,39,262,0,24198,13280
Photo,7,26,3,36,0,13989,7268
Photo,0,47,11,58,0,8387,4284
Status,4,174,36,214,0,30612,16576
Photo,0,77,15,92,0,7329,3786
Photo,9,202,31,242,0,8899,4894
Photo,4,64,19,87,0,5439,2935
Photo,2,164,54,220,0,10465,5812
Photo,3,76,11,90,0,4372,2257
Photo,2,60,7,69,0,5234,2352
Photo,19,77,23,119,0,6167,3416
Photo,0,48,7,55,0,4120,2149
Status,3,226,44,273,0,16362,9056
Photo,0,0,0,0,0,2392,1228
Photo,0,56,8,64,0,2774,1445
Photo,2,29,7,38,0,8533,3754
Photo,18,370,53,441,0,11123,5990
Status,2,99,16,117,0,13092,6692
Link,2,130,31,163,0,54779,21176
Photo,3,270,38,311,0,7955,4012
Photo,3,30,6,39,0,2838,1531
Photo,0,78,13,91,0,4545,2219
Photo,2,111,16,129,0,4239,2225
Photo,5,153,27,185,0,5744,3090
Photo,3,51,11,65,0,2548,1101
Photo,1,115,26,142,0,5230,2819
Photo,12,328,90,430,0,21893,12776
Photo,26,1505,95,1626,0,104952,68896
Photo,2,63,14,79,0,3174,1711
Photo,0,13,4,17,0,2544,1388
Photo,42,955,139,1136,0,111745,70144
Photo,9,181,32,222,0,7221,3674
Status,17,193,28,238,0,19556,9504
Photo,7,125,16,148,0,4469,2426
Status,4,217,50,271,0,27468,13872
Photo,2,28,4,34,0,3655,1673
Photo,4,117,18,139,0,4510,2428
Photo,0,15,2,17,0,2749,1592
Photo,1,431,26,458,0,57472,32208
Photo,0,7,0,7,0,1374,729
Photo,0,7,2,9,0,1570,834
Photo,0,6,2,8,0,1573,786
Photo,1,1,2,4,0,1096,619
Photo,0,7,2,9,0,1240,677
Photo,3,198,41,242,0,6647,3366
Photo,0,9,1,10,0,1443,747
Photo,0,4,1,5,0,1117,645
Photo,0,8,2,10,0,1673,910
Photo,1,7,2,10,0,1158,659
Photo,0,11,1,12,0,1331,652
Photo,0,56,12,68,0,7659,3690
Link,0,32,16,48,0,9463,4664
Photo,4,32,3,39,0,2427,1080
Status,0,129,25,154,0,17202,8896
Link,15,143,44,202,0,229733,68992
Photo,0,80,14,94,0,3960,2291
Status,3,148,28,179,0,20691,10744
Photo,13,319,55,387,0,10282,5568
Photo,16,117,30,163,0,7094,3756
Photo,1,115,21,137,0,4862,2656
Photo,30,187,35,252,0,9493,5086
Photo,6,363,40,409,0,14948,9384
Photo,6,244,32,282,0,7255,3992
Status,4,243,41,288,0,21080,11096
Photo,144,1622,208,1974,0,68290,41984
Photo,3,188,26,217,0,8039,4480
Photo,2,30,6,38,0,2874,1543
Status,38,163,27,228,0,41906,21256
Photo,5,204,34,243,0,8105,4398
Photo,2,234,40,276,0,10830,6208
Photo,7,250,42,299,0,8533,4518
Photo,4,154,36,194,0,6518,3582
Photo,4,102,8,114,0,38806,14152
Photo,0,62,10,72,0,4005,2232
Photo,5,223,35,263,0,7217,4048
Photo,0,61,6,67,0,2968,1804
Photo,3,146,15,164,0,5388,3100
Photo,9,766,43,818,0,33643,19648
Photo,0,63,7,70,0,3721,2295
Photo,9,278,43,330,0,8730,5282
Photo,2,64,7,73,0,3130,1809
Photo,1,52,7,60,0,3124,1920
Photo,33,1155,102,1290,0,64850,33536
Photo,0,40,5,45,0,6557,3376
Photo,4,220,19,243,0,205934,72864
Photo,2,114,16,132,0,5682,3358
Photo,1,54,11,66,0,4220,2594
Photo,2,17,9,28,0,2327,1330
Status,41,15,1,57,0,26000,14424
Photo,3,87,10,100,0,26728,14200
Photo,16,227,28,271,0,9874,5746
Photo,2,86,8,96,0,4372,2540
Photo,6,179,27,212,0,7241,4324
Status,1,74,11,86,0,14305,8260
Photo,2,80,21,103,0,9084,5046
Status,9,95,17,121,0,25269,15296
Photo,64,367,25,456,0,21863,14824
Photo,1,98,21,120,0,5278,3176
Status,3,13,1,17,0,19279,10956
Photo,12,237,45,294,0,19744,10888
Photo,4,112,23,139,0,6316,3594
Photo,2,101,25,128,0,6166,3384
Photo,4,154,30,188,0,66824,44464
Photo,0,73,15,88,0,5188,2881
Photo,0,96,19,115,0,6503,3460
Photo,1,98,19,118,0,5656,3406
Photo,6,194,34,234,0,43464,26944
Photo,6,226,42,274,0,9321,5292
Photo,10,755,58,823,0,82011,54256
Photo,9,152,41,202,0,8360,4666
Photo,7,529,60,596,0,55398,38576
Photo,2,75,24,101,0,12735,7232
Status,13,61,13,87,0,16978,10188
Photo,26,162,7,195,0,11881,6408
Photo,1,143,27,171,0,9098,5458
Photo,18,46,7,71,0,6194,3706
Status,36,98,14,148,0,31448,18320
Video,23,204,44,271,0,277100,139008
Photo,7,148,39,194,0,191324,109056
Photo,1,71,17,89,0,4909,3046
Status,0,104,13,117,0,20327,12044
Photo,11,129,12,152,0,47721,28112
Status,4,72,18,94,0,14847,8628
Photo,103,469,33,605,0,29062,20896
Photo,5,57,5,67,0,4072,2402
Photo,0,23,2,25,0,3289,1729
Photo,5,141,26,172,0,7127,4320
Photo,0,19,5,24,0,4410,2585
Photo,0,72,21,93,0,5807,3600
Photo,5,54,7,66,0,21564,11620
Photo,5,93,19,117,0,7004,4248
Photo,0,62,10,72,0,4388,2763
Photo,0,14,1,15,0,14480,8324
Photo,11,231,43,285,0,11469,6952
Photo,0,148,7,155,0,80871,58304
Photo,2,208,28,238,0,8303,4762
Photo,12,148,28,188,0,10217,6150
Photo,3,142,18,163,0,29650,22464
Photo,8,107,20,135,0,6295,3754
Photo,0,22,3,25,0,7998,4452
Photo,9,186,23,218,0,70212,47376
Photo,0,58,17,75,0,5113,3234
Photo,2,180,44,226,0,11525,6768
Photo,2,51,6,59,0,5659,3418
Photo,20,1372,47,1439,0,104966,56672
Photo,1,79,17,97,0,6486,3806
Photo,20,199,32,251,0,34095,21248
Photo,1,107,26,134,0,8025,4344
Photo,0,50,10,60,0,4698,2718
Photo,0,64,20,84,0,5630,3024
Photo,2,72,9,83,0,4642,2772
Photo,4,79,16,99,0,4954,2812
Photo,25,307,58,390,0,32576,18056
Photo,6,212,36,254,0,8745,5016
Photo,2,95,17,114,0,6181,3528
Photo,5,194,33,232,0,11509,6444
Photo,1,58,13,72,0,5067,3144
Photo,45,1639,122,1806,0,124753,81856
Photo,4,400,25,429,0,25542,18552
Photo,2,98,18,118,0,7165,4132
Photo,12,138,38,188,0,9209,4910
Photo,3,148,16,167,0,7633,4202
Photo,1,144,29,174,0,8962,5206
Status,1,129,36,166,0,16811,9232
Photo,9,194,33,236,0,51899,24264
Photo,4,304,47,355,0,11859,6692
Photo,4,41,9,54,0,15350,11336
Photo,1,64,22,87,0,10417,6172
Photo,2,92,28,122,0,8198,4986
Photo,0,35,5,40,0,12695,9880
Photo,4,37,3,44,0,5953,3334
Photo,1,96,18,115,0,26026,20920
Photo,1,57,13,71,0,6406,3884
Photo,3,114,21,138,0,7057,4240
Photo,1,51,6,58,0,6156,3544
Photo,5,81,11,97,0,110172,71360
Photo,1,71,18,90,0,6333,3824
Photo,9,164,52,225,0,11079,6360
Photo,1,52,24,77,0,7253,4552
